"";"IDpol";"ClaimNb";"Exposure";"Area";"VehPower";"VehAge";"DrivAge";"BonusMalus";"VehBrand";"VehGas";"Density";"Region";"MeanClaimAmount";"predictoin_cout";"predictoin_freq";"cout_x_freq"
"1067";2222;1;0,73;"E";5;0;22;100;"B12";"Regular";4408;"R11";3365,37;1606,94334604796;0,184402206705201;296,323899061484
"9408";24992;2;1;"B";6;6;23;112;"B2";"Diesel";61;"R24";1128,12;1490,34278970329;0,227496674823268;339,048029004331
"12237";30080;1;1;"C";4;5;33;61;"B11";"Diesel";247;"R53";1106,4;1371,83446385633;0,0734583708639522;100,772724809909
"11958";29567;2;0,5;"D";13;14;33;51;"B10";"Regular";713;"R52";1128,12;1489,95156578194;0,0336623623175793;50,1552894429962
"1";1;1;0,1;"D";5;0;55;50;"B12";"Regular";1217;"R82";0;1393,63677918577;0,134881060718528;187,97520703293
"391";816;1;0,05;"A";5;0;51;50;"B12";"Regular";27;"R26";0;1476,63962226028;0,13704674374258;202,368651912045
"66502";141668;0;0,25;"E";11;6;82;230;"B1";"Regular";8455;"R82";0;1654,78843178459;0,189669539352232;313,862959581985
"26544";56277;1;0,87;"F";5;6;65;156;"B1";"Regular";27000;"R11";1128,12;1394,03173250628;0,255710430969805;356,468455104763
"37834";76632;1;0,75;"B";7;15;18;100;"B1";"Regular";60;"R54";1128,12;1873,16088862201;0,0650547843718463;121,858077703081
"NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
